2024-03-22 10:40:44,578 INFO    MainThread:17347 [wandb_setup.py:_flush():76] Current SDK version is 0.16.4
2024-03-22 10:40:44,579 INFO    MainThread:17347 [wandb_setup.py:_flush():76] Configure stats pid to 17347
2024-03-22 10:40:44,579 INFO    MainThread:17347 [wandb_setup.py:_flush():76] Loading settings from /Users/dhruvachayapathy/.config/wandb/settings
2024-03-22 10:40:44,579 INFO    MainThread:17347 [wandb_setup.py:_flush():76] Loading settings from /Users/dhruvachayapathy/personal/research/mit-research/plasma-data-augmentation/src/wandb/settings
2024-03-22 10:40:44,579 INFO    MainThread:17347 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-03-22 10:40:44,579 INFO    MainThread:17347 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-03-22 10:40:44,579 INFO    MainThread:17347 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'src/main.py', 'program_abspath': '/Users/dhruvachayapathy/personal/research/mit-research/plasma-data-augmentation/src/main.py', 'program': '/Users/dhruvachayapathy/personal/research/mit-research/plasma-data-augmentation/src/main.py'}
2024-03-22 10:40:44,579 INFO    MainThread:17347 [wandb_init.py:_log_setup():526] Logging user logs to /Users/dhruvachayapathy/personal/research/mit-research/plasma-data-augmentation/src/wandb/run-20240322_104044-s4rs80ch/logs/debug.log
2024-03-22 10:40:44,579 INFO    MainThread:17347 [wandb_init.py:_log_setup():527] Logging internal logs to /Users/dhruvachayapathy/personal/research/mit-research/plasma-data-augmentation/src/wandb/run-20240322_104044-s4rs80ch/logs/debug-internal.log
2024-03-22 10:40:44,580 INFO    MainThread:17347 [wandb_init.py:init():566] calling init triggers
2024-03-22 10:40:44,580 INFO    MainThread:17347 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-03-22 10:40:44,580 INFO    MainThread:17347 [wandb_init.py:init():616] starting backend
2024-03-22 10:40:44,580 INFO    MainThread:17347 [wandb_init.py:init():620] setting up manager
2024-03-22 10:40:44,585 INFO    MainThread:17347 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-03-22 10:40:44,588 INFO    MainThread:17347 [wandb_init.py:init():628] backend started and connected
2024-03-22 10:40:44,605 INFO    MainThread:17347 [wandb_init.py:init():720] updated telemetry
2024-03-22 10:40:44,635 INFO    MainThread:17347 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-03-22 10:40:45,527 INFO    MainThread:17347 [wandb_run.py:_on_init():2262] communicating current version
2024-03-22 10:40:46,070 INFO    MainThread:17347 [wandb_run.py:_on_init():2271] got version response 
2024-03-22 10:40:46,070 INFO    MainThread:17347 [wandb_init.py:init():804] starting run threads in backend
2024-03-22 10:40:49,781 INFO    MainThread:17347 [wandb_run.py:_console_start():2241] atexit reg
2024-03-22 10:40:49,781 INFO    MainThread:17347 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-03-22 10:40:49,782 INFO    MainThread:17347 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-03-22 10:40:49,782 INFO    MainThread:17347 [wandb_run.py:_redirect():2186] Redirects installed.
2024-03-22 10:40:49,783 INFO    MainThread:17347 [wandb_init.py:init():847] run started, returning control to user process
2024-03-22 10:40:57,641 WARNING MsgRouterThr:17347 [router.py:message_loop():77] message_loop has been closed
